質問,いろいろな質問,#800080
What is your name?,あなたの名前はなんですか？
Where are you from?,あなたはどこから来ましたか？
How old are you?,おいくつですか？
How much is this?,これはいくらですか？
When did you sleep?,いつ寝ましたか？
Why did you come here?,どうしてここに来たのですか？
Who is he?,彼は誰ですか？
