飲み物,drink,#0000a0
water,水
hot water,お湯
beverage,飲み物、飲料
milk,牛乳
tea,お茶
green tea,緑茶
black tea,紅茶
coffee,コーヒー
cocoa,ココア
cappuccino,カプチーノ
soda,炭酸飲料
juice,ジュース(果汁100%)
beer,ビール
wine,ワイン
liquor, 酒
