曜日,月曜日から日曜日まで,#00ffff
Sunday,日曜日,サンデー
Monday,月曜日,マンデー
Tuesday,火曜日,チューズデー
Wednesday,水曜日,ウェデュンズデー
Thursday,木曜日,サーズデー
Friday,金曜日,フライデー
Saturday,土曜日,サターデー
