野菜,野菜の名前,#336600
turnip,カブ
pumpkin,かぼちゃ
cabbage,キャベツ
cucumber,キュウリ
sweet potato,サツマイモ
shiitake,椎茸(しいたけ)
potato, じゃがいも
ginger,生姜(しょうが)
radish,大根
soybean,大豆
bamboo shoot,タケノコ,shootは芽
eggplant,ナス(アメリカ)
carrot,人参
garlic,ガーリック
chinese cabbage,白菜
broccoli,ブロッコリー
spinach,ホウレンソウ
lettuce,レタス
green pepper,ピーマン
