果物,フルーツ15個,#FFC0CB
apple,りんご
pineapple,パイナップル
peach,もも
strawberry,イチゴ
banana,バナナ
orange,オレンジ
grape,ぶどう
muscat,マスカット
pear,洋なし
melon,メロン
water melon,すいか
cherry,さくらんぼ
kiwi fruit,キーウイ
mango,マンゴー
avocado,アボカド
