花,花の名前,#FFA500
Morning glory,アサガオ
Chrysanthemum,菊
Cactus,さぼてん
Dandelion,タンポポ
Hydrangea,あじさい
Carnation,カーネーション
Cosmos,コスモス
Cherry blossom,桜
Violet,すみれ
Tulip,チューリップ
Hibiscus,ハイビスカス
Rose,バラ
Sunflower,ひまわり
Wisteria,藤
Freesia,フリージア
Marguerite,マーガレット
Lily,百合(ゆり)
Lavender,ラベンダー
Orchid,蘭(らん)
