動物,どうぶつたち,#ff0000
dog,犬
cat,猫
lion,ライオン
elephant,象
squirrel,リス
cow,牛(飼育されている雌牛)
bull,雄牛
wolf,オオカミ
hippopotamus,カバ
kangaroo,カンガルー
bear,クマ
ape,サル
deer,シカ
tiger,トラ
leopard,ヒョウ
sheep,羊
pig,豚
camel,ラクダ
goat,ヤギ
